id,id_relevance,type_de,type_fr,type_en,pct,inst,question,instrument,relevance,highlight,"label_de","label_fr","label_en","caption_de","caption_fr","caption_en"
ISf_WichtigsteZiele_6,ISf_WichtigsteZiele_1,Zusammenarbeit mit einem Forschungspartner geprüft,Collaboration avec un partenaire de recherche étudiée,Cooperation with a research partner considered,59,Förderung für Schweizer Innovationsprojekte,Ergebnisse,Innovationsscheck,90,false,"KMU, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %","PME rapportant des résultats atteints / entièrement atteints, part en %","SMEs reporting achieved/fully achieved results, share in %","","",""
ISf_WichtigsteZiele_8,ISf_WichtigsteZiele_2,Innovationsprojekt bei Innosuisse vorbereitet,Projet d'innovation préparé auprès d'Innosuisse,Innovation project prepared at Innosuisse,67,Förderung für Schweizer Innovationsprojekte,Ergebnisse,Innovationsscheck,65,false,"KMU, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %","PME rapportant des résultats atteints / entièrement atteints, part en %","SMEs reporting achieved/fully achieved results, share in %","","",""
RPf_ProjektStand_1,,Machbarkeit erfolgreich geprüft,Faisabilité vérifiée avec succès,Feasibility successfully tested,79,Förderung für Schweizer Innovationsprojekte,Ergebnisse,Innovationsprojekte ohne UP,0,false,"Forschende, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %","Chercheurs rapportant des résultats atteints / entièrement atteints, part en %","Researchers reporting achieved/fully achieved results, share in %","","",""
RPf_UmsetzungWahrscheinlich_1,,Projekt wird mit hoher / sehr hoher Wahrscheinlichkeit auf dem Markt umgesetzt,Le projet a une forte / très forte probabilité d'être mis en œuvre sur le marché,Project is very/highly likely to be implemented on the market,48,Förderung für Schweizer Innovationsprojekte,Ergebnisse,Innovationsprojekte ohne UP,0,false,"Forschende, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %","Chercheurs rapportant des résultats atteints / entièrement atteints, part en %","Researchers reporting achieved/fully achieved results, share in %","","",""
RPf_ProjektStand_2,,Schlüssige Ergebnisse für die Umsetzung erzielt ,Résultats concluants obtenus pour la mise en œuvre ,Coherent results for implementation achieved ,52,Förderung für Schweizer Innovationsprojekte,Ergebnisse,Innovationsprojekte ohne UP,0,false,"Forschende, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %","Chercheurs rapportant des résultats atteints / entièrement atteints, part en %","Researchers reporting achieved/fully achieved results, share in %","","",""
CCf_HilfreichVereinbart_9,CCf_HilfreichVereinbart_1,Entwicklung des Geschäftsmodells,Développement du modèle d'entreprise,Development of the business model,81,Begleitung von Start-ups,Zufriedenheit mit Coaching,Start-up Core Coaching,93,false,"Start-ups, die den Beitrag des Core Coaching als massgeblich beurteilen, Anteil in %","Start-ups qui jugent la contribution du Core Coaching déterminante, part en %.","Start-ups judging the contribution of Core Coaching to be significant, share in %","Einschätzungen der Start-ups anhand einer sechsstufigen Bewertungsskala mit den vorgegebenen Definitionen: (4) eher unterstützend, (5) unterstützend und (6) sehr unterstützend.","Appréciations des start-ups sur la base d'une échelle d'évaluation à six niveaux avec les définitions données : (4) plutôt favorable, (5) favorable et (6) très favorable.","Estimates of the start-ups based on a six-point rating scale with the given definitions: (4) somewhat supportive, (5) supportive and (6) very supportive."
CCf_HilfreichVereinbart_10,CCf_HilfreichVereinbart_2,Entwicklung des Umsetzungsplans,Développement du plan de mise en œuvre,Development of the implementation plan,76,Begleitung von Start-ups,Zufriedenheit mit Coaching,Start-up Core Coaching,93,false,"Start-ups, die den Beitrag des Core Coaching als massgeblich beurteilen, Anteil in %","Start-ups qui jugent la contribution du Core Coaching déterminante, part en %.","Start-ups judging the contribution of Core Coaching to be significant, share in %","Einschätzungen der Start-ups anhand einer sechsstufigen Bewertungsskala mit den vorgegebenen Definitionen: (4) eher unterstützend, (5) unterstützend und (6) sehr unterstützend.","Appréciations des start-ups sur la base d'une échelle d'évaluation à six niveaux avec les définitions données : (4) plutôt favorable, (5) favorable et (6) très favorable.","Estimates of the start-ups based on a six-point rating scale with the given definitions: (4) somewhat supportive, (5) supportive and (6) very supportive."
CCf_HilfreichVereinbart_11,CCf_HilfreichVereinbart_3,Set-up und Organisationsentwicklung,Mise en place et développement organisationnel,Set-up and organisational development,73,Begleitung von Start-ups,Zufriedenheit mit Coaching,Start-up Core Coaching,84,false,"Start-ups, die den Beitrag des Core Coaching als massgeblich beurteilen, Anteil in %","Start-ups qui jugent la contribution du Core Coaching déterminante, part en %.","Start-ups judging the contribution of Core Coaching to be significant, share in %","Einschätzungen der Start-ups anhand einer sechsstufigen Bewertungsskala mit den vorgegebenen Definitionen: (4) eher unterstützend, (5) unterstützend und (6) sehr unterstützend.","Appréciations des start-ups sur la base d'une échelle d'évaluation à six niveaux avec les définitions données : (4) plutôt favorable, (5) favorable et (6) très favorable.","Estimates of the start-ups based on a six-point rating scale with the given definitions: (4) somewhat supportive, (5) supportive and (6) very supportive."
CCf_HilfreichVereinbart_12,CCf_HilfreichVereinbart_4,Lösung eigentumsrechtlicher Fragen,Résolution des questions de propriété,Resolution of ownership issues,84,Begleitung von Start-ups,Zufriedenheit mit Coaching,Start-up Core Coaching,86,false,"Start-ups, die den Beitrag des Core Coaching als massgeblich beurteilen, Anteil in %","Start-ups qui jugent la contribution du Core Coaching déterminante, part en %.","Start-ups judging the contribution of Core Coaching to be significant, share in %","Einschätzungen der Start-ups anhand einer sechsstufigen Bewertungsskala mit den vorgegebenen Definitionen: (4) eher unterstützend, (5) unterstützend und (6) sehr unterstützend.","Appréciations des start-ups sur la base d'une échelle d'évaluation à six niveaux avec les définitions données : (4) plutôt favorable, (5) favorable et (6) très favorable.","Estimates of the start-ups based on a six-point rating scale with the given definitions: (4) somewhat supportive, (5) supportive and (6) very supportive."
CCf_HilfreichVereinbart_13,CCf_HilfreichVereinbart_5,Unterstützung bei Markteintritt,Assistance à l'entrée sur le marché,Support with market entry,66,Begleitung von Start-ups,Zufriedenheit mit Coaching,Start-up Core Coaching,80,false,"Start-ups, die den Beitrag des Core Coaching als massgeblich beurteilen, Anteil in %","Start-ups qui jugent la contribution du Core Coaching déterminante, part en %.","Start-ups judging the contribution of Core Coaching to be significant, share in %","Einschätzungen der Start-ups anhand einer sechsstufigen Bewertungsskala mit den vorgegebenen Definitionen: (4) eher unterstützend, (5) unterstützend und (6) sehr unterstützend.","Appréciations des start-ups sur la base d'une échelle d'évaluation à six niveaux avec les définitions données : (4) plutôt favorable, (5) favorable et (6) très favorable.","Estimates of the start-ups based on a six-point rating scale with the given definitions: (4) somewhat supportive, (5) supportive and (6) very supportive."
CCf_HilfreichVereinbart_14,CCf_HilfreichVereinbart_6,Skalierung des Geschäftsmodells,Mise à l'échelle du modèle d'entreprise,Scaling of the business model,58,Begleitung von Start-ups,Zufriedenheit mit Coaching,Start-up Core Coaching,69,false,"Start-ups, die den Beitrag des Core Coaching als massgeblich beurteilen, Anteil in %","Start-ups qui jugent la contribution du Core Coaching déterminante, part en %.","Start-ups judging the contribution of Core Coaching to be significant, share in %","Einschätzungen der Start-ups anhand einer sechsstufigen Bewertungsskala mit den vorgegebenen Definitionen: (4) eher unterstützend, (5) unterstützend und (6) sehr unterstützend.","Appréciations des start-ups sur la base d'une échelle d'évaluation à six niveaux avec les définitions données : (4) plutôt favorable, (5) favorable et (6) très favorable.","Estimates of the start-ups based on a six-point rating scale with the given definitions: (4) somewhat supportive, (5) supportive and (6) very supportive."
CCf_HilfreichVereinbart_15,CCf_HilfreichVereinbart_7,Kapitalakquisition,Acquisition de capitaux,Capital acquisition,66,Begleitung von Start-ups,Zufriedenheit mit Coaching,Start-up Core Coaching,90,false,"Start-ups, die den Beitrag des Core Coaching als massgeblich beurteilen, Anteil in %","Start-ups qui jugent la contribution du Core Coaching déterminante, part en %.","Start-ups judging the contribution of Core Coaching to be significant, share in %","Einschätzungen der Start-ups anhand einer sechsstufigen Bewertungsskala mit den vorgegebenen Definitionen: (4) eher unterstützend, (5) unterstützend und (6) sehr unterstützend.","Appréciations des start-ups sur la base d'une échelle d'évaluation à six niveaux avec les définitions données : (4) plutôt favorable, (5) favorable et (6) très favorable.","Estimates of the start-ups based on a six-point rating scale with the given definitions: (4) somewhat supportive, (5) supportive and (6) very supportive."
CCf_HilfreichVereinbart_16,CCf_HilfreichVereinbart_8,Internationalisierung,Internationalisation,Internationalisation,61,Begleitung von Start-ups,Zufriedenheit mit Coaching,Start-up Core Coaching,74,false,"Start-ups, die den Beitrag des Core Coaching als massgeblich beurteilen, Anteil in %","Start-ups qui jugent la contribution du Core Coaching déterminante, part en %.","Start-ups judging the contribution of Core Coaching to be significant, share in %","Einschätzungen der Start-ups anhand einer sechsstufigen Bewertungsskala mit den vorgegebenen Definitionen: (4) eher unterstützend, (5) unterstützend und (6) sehr unterstützend.","Appréciations des start-ups sur la base d'une échelle d'évaluation à six niveaux avec les définitions données : (4) plutôt favorable, (5) favorable et (6) très favorable.","Estimates of the start-ups based on a six-point rating scale with the given definitions: (4) somewhat supportive, (5) supportive and (6) very supportive."
BDf_ProjektStand_1,,Machbarkeit erfolgreich geprüft,Faisabilité vérifiée avec succès,Feasibility successfully tested,89,Förderung für Schweizer Innovationsprojekte,Ergebnisse,BRIDGE Discovery,0,false,"Forschende, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %","Chercheurs rapportant des résultats atteints / entièrement atteints, part en %","Researchers reporting achieved/fully achieved results, share in %","","",""
BDf_UmsetzungsWahrscheinlichkeit_1,,Projekt wird mit hoher / sehr hoher Wahrscheinlichkeit auf dem Markt umgesetzt,Le projet a une forte / très forte probabilité d'être mis en œuvre sur le marché,Project is very/highly likely to be implemented on the market,58,Förderung für Schweizer Innovationsprojekte,Ergebnisse,BRIDGE Discovery,0,false,"Forschende, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %","Chercheurs rapportant des résultats atteints / entièrement atteints, part en %","Researchers reporting achieved/fully achieved results, share in %","","",""
BDf_ProjektStand_2,,Schlüssige Ergebnisse für die Umsetzung erzielt ,Résultats concluants obtenus pour la mise en œuvre ,Coherent results for implementation achieved ,66,Förderung für Schweizer Innovationsprojekte,Ergebnisse,BRIDGE Discovery,0,false,"Forschende, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %","Chercheurs rapportant des résultats atteints / entièrement atteints, part en %","Researchers reporting achieved/fully achieved results, share in %","","",""
